Name,Field Type,Alias,Details
MXDU_EFF,06_Formula - Final Result,"Maximum Dwelling Units, Effective (#)","This value is MXDU_OVE where this field is populated, then MAXDU, then MXDU_CALC1, then MXDU_CALC2, then MXDU_CALC3."
MXDU_ESVAL,06_Formula - Final Result,"Maximum Dwelling Units, Estimation Flag",This value is 1 if Maximum Dwelling Units is estimated and 0 if the Maximum Dwelling Units is what appears in the municipality's zoning by-law.
MXDU_NOTES,04_Text - Explanatory,Maximum Dwelling Units Notes,
DUpAC,01_Numerical Input - Bylaw or Ordinance,Maximum Dwelling Units per Acre (#),"Maximum dwelling units per acre, as it appears in the zoning by-law for the highest density use."
DUpAC_SPEC,03_Text - Descriptive,Dwelling Units per Acre Specification,"'-999 - This dimensional regulation is referenced in the zoning code but the maximum (or minimum) value is specified with a formula. 
0 - This dimensional regulation is referenced in the zoning code but a value is not defined.
999 - This dimensional regulation is not referenced in the zoning code.
Null - Unknown"
DUpAC_OVE,02_Numerical Input - Other Value,"Maximum Dwelling Units per Acre, Override (#)",A field to accommodate estimated values for DUpAC in cases where the general estimation method did not apply. Estimation notes in DUpAC_OVEN.
DUpAC_OVEN,04_Text - Explanatory,"Maximum Dwelling Units per Acre, Override Notes",
DUpAC_CALC1,05_Formula - Estimates,"Maximum Dwelling Units per Acre, Calc. 1 (#)","If MAXDU and MINLOTSIZE are both greater than 0, this value is the maximum number of dwelling units on a lot multiplied by the square footage of an acre (MAXDU*43560), divided by the minimum lot size (MINLOTSIZE), and rounded down. "
DUpAC_CALC2,05_Formula - Estimates,"Maximum Dwelling Units per Acre, Calc. 2 (#)","If FAR and SFpDU are both greater than 0, this value is the maximum FAR multiplied by the square footage of an acre (FAR*43560), divided by the square footage of a dwelling unit (SFpDU)."
DUpAC_CALC3,05_Formula - Estimates,"Maximum Dwelling Units per Acre, Calc. 3 (#)","If MXDU_EFF and MNLS_EFF are both greater than 0, this value is the maximum number of dwelling units on a lot multiplied by the square footage of an acre (MXDU_EFF*43560), divided by the minimum lot size (MNLS_EFF), and rounded down."
DUpAC_CALC,05_Formula - Estimates,"Maximum Dwelling Units per Acre, Final Calc.","This value is DUpAC_CALC1 if this value is greater than 0, then DUpAC_CALC2, then DUpAC_CALC3."
DUpAC_EFF,06_Formula - Final Result,"Maximum Dwelling Units per Acre, Effective (#)","If residential uses are allowed in the zone, this value is DUpAC_OVE where this field is populated, then DUpAC, then DUpAC_CALC1, then DUpAC_CALC2."
DUpAC_ESVAL,06_Formula - Final Result,"Maximum Dwelling Units per Acre, Estimation Flag",This value is 1 if Maximum Dwelling Units per Acre is estimated and 0 if the Maximum Dwelling Units per Acre is what appears in the municipality's zoning by-law.
DUpAC_NOTES,04_Text - Explanatory,Maximum Dwelling Units per Acre Notes,
FAR,01_Numerical Input - Bylaw or Ordinance,Floor-Area Ratio,"Maximum Floor-Area Ratio, as it appears in the zoning by-law for the highest density use."
FAR_SPEC,03_Text - Descriptive,FAR Specification,"'-999 - This dimensional regulation is referenced in the zoning code but the maximum (or minimum) value is specified with a formula. 
0 - This dimensional regulation is referenced in the zoning code but a value is not defined.
999 - This dimensional regulation is not referenced in the zoning code.
Null - Unknown"
FAR_OVE,02_Numerical Input - Other Value,"FAR, Override",A field to accommodate estimated values for FAR in cases where the general estimation method did not apply. 
FAR_OVEN,04_Text - Explanatory,FAR Override Notes,
FAR_CALC,05_Formula - Estimates,"FAR, Calc. 1","If PLC_EFF and MXFL_EFF are both greater than 0, this value is the maximum lot coverage multiplied by the maximum number of building floors (PLC_EFF * MXFL_EFF), rounded down.
"
FAR_EFF,06_Formula - Final Result,"FAR, Effective","If non-residential uses are allowed in the zone, this value is FAR_OVE where this field is populated, then FAR, then FAR_CALC1.
"
FAR_ESVAL,06_Formula - Final Result,FAR Estimation Flag,This value is 1 if FAR is estimated and 0 if the FAR is what appears in the municipality's zoning by-law.
FAR_NOTES,04_Text - Explanatory,FAR Notes,
CREATEDDATE,07_Metadata,Record Created Date,
CREATEDBY,07_Metadata,Record Created By,
EDITDATE,07_Metadata,Record Edited Date,
EDITEDBY,07_Metadata,Record Edited By,
SPATIALREC,07_Metadata,Date Spatial Data Received,
